Date,Category,Amount,Note
2025-09-01 00:00:00,Food,250.0,Lunch at cafe
2025-09-02 00:00:00,Transport,80.0,Auto fare
2025-09-03 00:00:00,Utilities,1200.0,Electricity bill
2025-09-04 00:00:00,Entertainment,500.0,Movie night
2025-09-05 00:00:00,Food,300.0,Dinner with friends
2025-09-06 00:00:00,Other,150.0,Stationery
2025-09-07 00:00:00,Transport,60.0,Bus ticket
2025-09-08 00:00:00,Food,200.0,Snacks
2025-09-09 00:00:00,Utilities,999.0,Internet recharge
2025-09-10 00:00:00,Entertainment,450.0,Concert ticket
2025-09-26,Other,15.0,
2025-09-26,Other,15.0,
2025-09-26,Other,15.0,
2025-09-09,Food,168.0,
2025-08-12,Food,168.0,
2025-08-12,Entertainment,168.01,
2025-09-26,Transport,90.0,
2025-09-26,Other,100.0,
